TimeStamp,MaxX,MaxY,MaxMagnitude,MinMagnitude,AverageMagnitude,DiffMagnitude,MaxTiltAngleX,AverageTiltAngleX,MinTiltAngleX,MaxZ,MaxTiltAngleY,MinTiltAngleY,AverageTiltAngleY,MaxTiltAngleZ,MinTiltAngleZ,AverageTiltAngleZ,MinX,MinY,MinZ,AverageX,AverageY,AverageZ,Situation,Activity
9102016,225,485,595.6290792,433.0692785,22.55604576,162.5598007,0.452713429,0.157772282,0.009482859,349,1.084974378,0.847143288,0.955611418,0.67974465,0.385303723,0.579948484,5,326,189,79.16,415.6533333,278.3466667,운반,물건들기
9102016,183,519,616.803048,432.3817757,22.38555845,184.4212722,0.319056061,0.195686866,0.075406354,312,1.083370191,0.880876231,0.978599922,0.642672205,0.448637684,0.546956464,36,353,216,98.025,416.4,260.225,운반,물건 들고 걷기
9102016,190,551,643.295422,450.2310518,22.46595882,193.0643702,0.334396831,0.216965815,0.114480913,292,1.12296881,0.948673688,1.028928297,0.572748488,0.413129626,0.484690953,56,366,195,109.2763158,432.4605263,235.0131579,운반,물건 들고 걷기
9102016,203,475,586.4409604,450.5485545,22.38350411,135.8924058,0.39818877,0.250474375,0.151240063,288,1.05548958,0.893764161,0.989861874,0.550864361,0.454513056,0.507731346,70,368,216,125.0657895,418.6315789,243.7368421,운반,물건 들고 걷기
9102016,276,562,639.1001486,391.3489491,22.41887156,247.7511995,0.568824144,0.382314753,0.172108295,277,1.179216722,0.797152325,1.006863288,0.517199544,0.249763008,0.379305409,91,298,114,184.9189189,425.8108108,185.7027027,운반,물건 들고 걷기
9102016,226,527,628.9053983,174.6825693,21.64728254,454.222829,0.621893437,0.333230418,0.23206139,308,1.190635265,0.48216478,1.000749954,0.8223657,0.273671833,0.434109761,82,81,128,151.0645161,401.2741935,190.2419355,운반,물건 들고 정지
9102016,369,619,866.9752015,405.1197354,22.60525643,461.8554661,0.747629385,0.461409062,0.32912923,493,0.889850914,0.268352181,0.744231298,0.752807175,0.509782924,0.618135257,155,140,230,226.7464789,348.1408451,297.0704225,운반,물건 들고 걷기
9102016,224,490,606.9769353,451.4310579,22.44933661,155.5458775,0.477395149,0.324800905,0.172481128,320,0.948534285,0.732443878,0.849686892,0.678570701,0.55255361,0.609801106,85,314,253,160.5945946,379.0945946,288.1216216,운반,물건 들고 걷기
9102016,296,536,677.8119208,397.9824117,22.49772699,279.8295091,0.570968476,0.357041485,0.218539058,344,1.017762313,0.700829263,0.861050696,0.696287815,0.493708257,0.577481766,91,312,203,177.8472222,384.2222222,275.9305556,운반,물건 들고 걷기
9102016,264,590,729.4826934,343.0714211,22.1812671,386.4112723,0.451552475,0.297025994,0.154794842,352,1.090749929,0.753887936,0.930669142,0.678764529,0.444940146,0.542627795,74,278,172,144.7466667,396.68,252.84,운반,물건 들고 걷기
9102016,237,635,753.6968887,331.0181264,22.41618595,422.6787623,0.578652335,0.273302601,0.17283081,355,1.034538695,0.698326041,0.956772559,0.607867785,0.446754177,0.527586513,75,222,165,134.9850746,413.5820896,253.7761194,운반,물건 들고 걷기
9102016,205,617,745.9986595,421.8127547,22.3674671,324.1859048,0.453041126,0.23167932,0.0311271,368,1.142593083,0.747928222,0.955974417,0.647919955,0.392112537,0.543248614,15,297,189,113.9375,410.65,257.25,운반,물건 들고 걷기
9102016,177,657,738.2282845,363.7540378,22.62030794,374.4742467,0.392096167,0.205605219,0.048742645,343,1.113781003,0.80123798,0.953817289,0.715070345,0.443583225,0.564919119,23,280,186,104.5125,420.2875,273.075,운반,물건 들고 걷기
9102016,162,582,673.7514378,391.5150061,22.39385928,282.2364317,0.352516031,0.155396747,-0.024514172,320,1.052065575,0.847177433,0.970473317,0.679043452,0.48967211,0.568156393,-11,321,204,78.0875,415.2125,268.8625,운반,물건 들고 걷기
9102016,200,608,707.8064707,363.0440745,22.61326091,344.7623963,0.365283956,0.224531879,0.047877903,359,1.165260188,0.854123325,1.021497183,0.635031027,0.361860496,0.483288851,30,277,177,113.2025316,436.5949367,237.1898734,운반,물건 들고 걷기
9102016,192,458,589.0882786,437.9817348,22.3719307,151.1065438,0.433565258,0.271517795,0.135180047,395,1.057807543,0.681674736,0.780803493,0.861425937,0.420097239,0.70790133,68,276,193,133.0128205,351.4230769,323.6153846,운반,물건 들고 걷기
9102016,142,330,600.247449,414.4333481,22.14481437,185.8141009,0.275166079,0.070375414,-0.098410831,586,0.723554639,-0.163488962,0.341690983,1.526377791,0.818708907,1.193987814,-57,-74,360,32.72,158.44,447.48,운반,물건 내리기
